符合條件商品,,,,,,,,
資料日期：2024年  9月 25日,,,,,,,,
策略,"	追漲停測試",,,,,,,
序號,代碼,商品,成交,漲幅%,總量,收盤價,漲跌幅,成交量
"1	",8929.TW,富堡,25.8,7.5,512,25.8,7.5,512
"2	",3390.TW,旭軟,32.2,3.87,1845,32.2,3.87,1845
"3	",5525.TW,順天,33.45,3.4,288,33.45,3.4,288
"4	",3048.TW,益登,38.55,3.07,2784,38.55,3.07,2784
"5	",4113.TW,聯上,36.9,3.07,1845,36.9,3.07,1845
"6	",5438.TW,東友,26.1,2.76,810,26.1,2.76,810
"7	",2534.TW,宏盛,25.5,2.62,1154,25.5,2.62,1154
"8	",3379.TW,彬台,35.4,2.61,638,35.4,2.61,638
"9	",3149.TW,正達,34.6,2.52,28944,34.6,2.52,28944
"10	",2939.TW,永邑-KY,33.9,2.42,372,33.9,2.42,372
"11	",2460.TW,建通,30.25,2.37,358,30.25,2.37,358
"12	",6148.TW,驊宏資,30.2,2.37,1231,30.2,2.37,1231
"13	",2374.TW,佳能,47.55,2.26,2971,47.55,2.26,2971
"14	",6405.TW,悅城,40.9,2.25,5628,40.9,2.25,5628
"15	",1570.TW,力肯,30.3,2.19,219,30.3,2.19,219
"16	",2408.TW,南亞科,47.3,2.05,13577,47.3,2.05,13577
"17	",2501.TW,國建,25.35,2.01,2665,25.35,2.01,2665
"18	",3518.TW,柏騰,31.6,1.94,1002,31.6,1.94,1002
"19	",8071.TW,能率網通,22.6,1.8,1488,22.6,1.8,1488
"20	",1530.TW,亞崴,34.15,1.79,370,34.15,1.79,370
"21	",5011.TW,久陽,24.35,1.67,276,24.35,1.67,276
"22	",3056.TW,富華新,32.5,1.56,1013,32.5,1.56,1013
"23	",4976.TW,佳凌,44.4,1.49,402,44.4,1.49,402
"24	",2528.TW,皇普,39.55,1.41,640,39.55,1.41,640
"25	",6134.TW,萬旭,30.4,1.33,2083,30.4,1.33,2083
"26	",1532.TW,勤美,39.05,1.3,2072,39.05,1.3,2072
"27	",3623.TW,富晶通,31.15,1.3,432,31.15,1.3,432
"28	",3059.TW,華晶科,35.45,1.29,856,35.45,1.29,856
"29	",3520.TW,華盈,21.1,1.2,284,21.1,1.2,284
"30	",5533.TW,皇鼎,21.25,1.19,255,21.25,1.19,255
"31	",2107.TW,厚生,25.8,1.18,354,25.8,1.18,354
"32	",6112.TW,邁達特,47.2,1.18,260,47.2,1.18,260
"33	",2477.TW,美隆電,30.4,1.16,2359,30.4,1.16,2359
"34	",9945.TW,潤泰新,47.9,1.16,6344,47.9,1.16,6344
"35	",2337.TW,旺宏,26.45,1.15,6536,26.45,1.15,6536
"36	",2536.TW,宏普,30.8,1.15,390,30.8,1.15,390
"37	",9940.TW,信義,30.9,1.15,538,30.9,1.15,538
"38	",3027.TW,盛達,35.55,1.14,220,35.55,1.14,220
"39	",4128.TW,中天,40.6,1.12,815,40.6,1.12,815
"40	",1735.TW,日勝化,25.1,1.01,715,25.1,1.01,715
"41	",2509.TW,全坤建,20.1,1.01,505,20.1,1.01,505
"42	",2514.TW,龍邦,20.15,1,490,20.15,1,490
"43	",1527.TW,鑽全,47.3,0.96,571,47.3,0.96,571
"44	",5529.TW,鉅陞,26.2,0.96,202,26.2,0.96,202
"45	",1617.TW,榮星,21.5,0.94,390,21.5,0.94,390
"46	",3645.TW,達邁,49,0.93,1114,49,0.93,1114
"47	",5515.TW,建國,22.05,0.92,521,22.05,0.92,521
"48	",5519.TW,隆大,38.4,0.92,1486,38.4,0.92,1486
"49	",2527.TW,宏璟,33.15,0.91,376,33.15,0.91,376
"50	",6282.TW,康舒,33.25,0.91,1385,33.25,0.91,1385
"51	",2505.TW,國揚,23.1,0.87,332,23.1,0.87,332
"52	",3686.TW,達能,23.8,0.85,331,23.8,0.85,331
"53	",6443.TW,元晶,23.85,0.85,1835,23.85,0.85,1835
"54	",1539.TW,巨庭,32.5,0.78,3571,32.5,0.78,3571
"55	",6244.TW,茂迪,26,0.78,1003,26,0.78,1003
"56	",2342.TW,茂矽,33.35,0.76,602,33.35,0.76,602
"57	",1434.TW,福懋,20.1,0.75,1375,20.1,0.75,1375
"58	",2405.TW,輔信,20.1,0.75,2130,20.1,0.75,2130
"59	",2457.TW,飛宏,40.05,0.75,726,40.05,0.75,726
"60	",6217.TW,中探針,46.85,0.75,978,46.85,0.75,978
"61	",3290.TW,東浦,34.35,0.73,1972,34.35,0.73,1972
"62	",2101.TW,南港,48.65,0.72,2224,48.65,0.72,2224
"63	",2461.TW,光群雷,22.3,0.68,291,22.3,0.68,291
"64	",2520.TW,冠德,48.05,0.63,3657,48.05,0.63,3657
"65	",2488.TW,漢平,48.55,0.62,383,48.55,0.62,383
"66	",3652.TW,精聯,40.6,0.62,729,40.6,0.62,729
