符合條件商品
資料日期：2024年 11月 12日
策略,	借券餘額
"序號","代碼","商品","成交","漲幅%","總量","借券賣出餘額張數",漲跌幅
1	,"1101.TW","台泥","32.45","0.62","23134","137370.05",0.62
2	,"1307.TW","三芳","44.7","0.34","6573","4144",0.34
3	,"1337.TW","再生-KY","6.97","0.14","242","2465.99",0.14
4	,"1342.TW","八貫","98","0.2","128","2510.63",0.2
5	,"1449.TW","佳和","27.35","1.86","32323","1752",1.86
6	,"1467.TW","南緯","10.75","0.94","264","1503",0.94
7	,"1474.TW","弘裕","14.2","0.35","578","1039",0.35
8	,"1519.TW","華城","667","3.41","8476","8564.2",3.41
9	,"1568.TW","倉佑","28.5","0.18","198","2217",0.18
10	,"1569.TW","濱川","42.4","6.13","6302","2419.25",6.13
11	,"1603.TW","華電","36.3","1.68","700","2520",1.68
12	,"1616.TW","億泰","21.65","1.17","590","1324",1.17
13	,"1708.TW","東鹼","42.45","0.83","6748","2445",0.83
14	,"1711.TW","永光","23.5","1.29","5297","19778",1.29
15	,"1718.TW","中纖","8","1.39","5563","8342.6",1.39
16	,"2006.TW","東和鋼鐵","74.6","0.54","1010","3846.06",0.54
17	,"2020.TW","美亞","28.1","0.36","498","5022",0.36
18	,"2030.TW","彰源","19","2.7","1619","4710",2.7
19	,"2105.TW","正新","46.4","0.32","7024","52236.58",0.32
20	,"2316.TW","楠梓電","54.3","2.65","3945","3947",2.65
21	,"2323.TW","中環","12.1","1.26","9861","20209",1.26
22	,"2342.TW","茂矽","34.15","0.74","830","1959",0.74
23	,"2347.TW","聯強","72.7","0.41","5687","6846",0.41
24	,"2359.TW","所羅門","144","0.35","4242","8532",0.35
25	,"2365.TW","昆盈","45.8","1.55","4842","7895",1.55
26	,"2387.TW","精元","59.7","2.58","4417","1267",2.58
27	,"2390.TW","云辰","13.95","0.72","797","2352",0.72
28	,"2442.TW","新美齊","24.75","1.85","1286","8937.76",1.85
29	,"2464.TW","盟立","77.5","0.65","4168","13239",0.65
30	,"2486.TW","一詮","119.5","0.42","12877","17437.44",0.42
31	,"2520.TW","冠德","51.9","0.39","6582","11653",0.39
32	,"2548.TW","華固","122","0.83","1019","13373.9",0.83
33	,"2596.TW","綠意","38","3.4","111","1414",3.4
34	,"2605.TW","新興","28.05","2.56","18716","14363",2.56
35	,"2609.TW","陽明","72.1","0.42","116832","12084",0.42
36	,"2611.TW","志信","23.45","0.86","647","3274.5",0.86
37	,"2612.TW","中航","46.3","1.31","1742","1323",1.31
38	,"2617.TW","台航","32.35","0.15","1215","5298",0.15
39	,"2618.TW","長榮航","39.5","0.64","54407","65718",0.64
40	,"2636.TW","台驊控股","86.5","0.58","1161","3231.13",0.58
41	,"2637.TW","慧洋-KY","79.6","0.76","10514","3906.89",0.76
42	,"2641.TW","正德","20.25","3.32","17976","13182.55",3.32
43	,"2727.TW","王品","239","0.63","300","2852.74",0.63
44	,"2852.TW","第一保","24.3","3.85","1661","1162",3.85
45	,"2889.TW","國票金","14.6","1.39","7260","51228.82",1.39
46	,"2929.TW","淘帝-KY","12.65","0.8","3145","1830",0.8
47	,"3024.TW","憶聲","19.25","0.26","1606","7771",0.26
48	,"3032.TW","偉訓","68","1.49","3864","3361",1.49
49	,"3036.TW","文曄","114.5","1.33","4474","7585.05",1.33
50	,"3047.TW","訊舟","36.5","1.39","10596","11437",1.39
51	,"3050.TW","鈺德","18.55","0.82","1623","4318",0.82
52	,"3051.TW","力特","32.2","3.21","1591","3996",3.21
53	,"3055.TW","蔚華科","70.8","2.61","819","4791",2.61
54	,"3078.TW","僑威","59.9","0.34","718","9523",0.34
55	,"3162.TW","精確","42","1.45","1820","4284.39",1.45
56	,"3211.TW","順達","143.5","7.89","58285","1999",7.89
57	,"3323.TW","加百裕","25.45","0.59","235","1091.85",0.59
58	,"3339.TW","泰谷","39.45","1.02","634","2608",1.02
59	,"3450.TW","聯鈞","252.5","0.2","23463","5294",0.2
60	,"3484.TW","崧騰","56.5","1.62","419","1381.5",1.62
61	,"3511.TW","矽瑪","35","2.64","7259","1453.55",2.64
62	,"3537.TW","堡達","56.9","1.61","825","1735.65",1.61
63	,"3540.TW","曜越","37.5","0.54","177","3136.7",0.54
64	,"3548.TW","兆利","152.5","6.64","1810","3925",6.64
65	,"3558.TW","神準","180.5","4.03","3286","1078.61",4.03
66	,"3583.TW","辛耘","463.5","0.11","2728","1542",0.11
67	,"3592.TW","瑞鼎","341.5","0.74","323","1209",0.74
68	,"3596.TW","智易","180.5","0.28","1720","2561.22",0.28
69	,"3706.TW","神達","63.6","7.07","347777","14349",7.07
70	,"3712.TW","永崴投控","57.9","0.52","9439","6093",0.52
71	,"4109.TW","加捷生醫","26.4","1.93","896","3064",1.93
72	,"4119.TW","旭富","94.3","1.07","829","1298.29",1.07
73	,"4147.TW","中裕","82.5","0.12","557","6228.45",0.12
74	,"4162.TW","智擎","104","0.48","2333","2057.82",0.48
75	,"4503.TW","金雨","51.7","1.97","169","1071",1.97
76	,"4541.TW","晟田","32.8","1.86","697","1045",1.86
77	,"4766.TW","南寶","299.5","2.39","748","2747",2.39
78	,"4768.TW","晶呈科技","203.5","0.99","687","1269.57",0.99
79	,"4906.TW","正文","35.8","0.99","3035","14541",0.99
80	,"4931.TW","新盛力","42.95","9.99","40693","1096",9.99
81	,"5009.TW","榮剛","49.75","0.61","10270","29513",0.61
82	,"5243.TW","乙盛-KY","70.5","0.71","29425","6444",0.71
83	,"5347.TW","世界","94.2","0.43","7700","94235.04",0.43
84	,"5443.TW","均豪","133.5","0.75","14750","4991",0.75
85	,"5465.TW","富驊","33.8","1.05","116","1728",1.05
86	,"5511.TW","德昌","62.7","0.32","248","1890",0.32
87	,"5525.TW","順天","35.1","2.63","459","1211.66",2.63
88	,"5530.TW","龍巖","50.1","2.56","1154","1290",2.56
89	,"5608.TW","四維航","18.8","2.73","7306","10798.83",2.73
90	,"5706.TW","鳳凰","61.3","1.16","353","1612.46",1.16
91	,"5904.TW","寶雅","488","0.93","305","2505.14",0.93
92	,"5905.TW","南仁湖","15.55","1.97","1805","7391.5",1.97
93	,"6024.TW","群益期","58.4","2.1","506","1241",2.1
94	,"6146.TW","耕興","213.5","1.18","71","2839.1",1.18
95	,"6150.TW","撼訊","82.8","0.49","4299","2955.3",0.49
96	,"6151.TW","晉倫","53.6","0.94","4624","1672",0.94
97	,"6170.TW","統振","48.5","1.04","352","1718",1.04
98	,"6179.TW","亞通","31.3","1.62","2867","4187.53",1.62
99	,"6180.TW","橘子","82.5","0.61","2371","1222",0.61
100	,"6203.TW","海韻電","63.9","0.16","35","1411",0.16
101	,"6219.TW","富旺","37.45","1.35","227","2939.79",1.35
102	,"6283.TW","淳安","32.2","5.4","3291","2733.95",5.4
103	,"6405.TW","悅城","45.65","1","6311","2094",1
104	,"6472.TW","保瑞","772","0.26","1758","5661.91",0.26
105	,"6643.TW","M31","728","0.28","804","1952.2",0.28
106	,"6668.TW","中揚光","47.3","1.72","368","2645.5",1.72
107	,"6669.TW","緯穎","2100","0.72","3387","2156.61",0.72
108	,"6695.TW","芯鼎","60.2","2.03","2587","3120",2.03
109	,"6869.TW","雲豹能源","184.5","0.27","2566","4621",0.27
110	,"8011.TW","台通","29.25","1.21","6901","8747.39",1.21
111	,"8016.TW","矽創","218.5","0.23","408","6300",0.23
112	,"8048.TW","德勝","53.2","0.38","363","1969.34",0.38
113	,"8089.TW","康全電訊","114","9.62","8583","1510",9.62
114	,"8112.TW","至上","63.7","0.16","2088","24226.34",0.16
115	,"8213.TW","志超","37.7","0.13","433","5945",0.13
116	,"9911.TW","櫻花","84","1.57","546","1956",1.57
117	,"9939.TW","宏全","153","0.99","916","2055",0.99
